n,seconds
761,0.0098134460
762,0.0095023380
763,0.0095296680
764,0.0095023030
765,0.0096858940
766,0.0096419560
767,0.0100775380
768,0.0095738050
769,0.0097231310
770,0.0098038840
771,0.0098195940
772,0.0097498830
773,0.0098558110
774,0.0098907160
775,0.0098038220
776,0.0099236390
777,0.0099369400
778,0.0099506340
779,0.0100603440
780,0.0099335510
781,0.0100873710
782,0.0100092850
783,0.0099015390
784,0.0102674630
785,0.0100770470
786,0.0100909920
787,0.0101748080
788,0.0101349160
789,0.0102102430
790,0.0101831890
791,0.0101894430
792,0.0104093350
793,0.0101506780
794,0.0104729250
795,0.0104004020
796,0.0104814810
797,0.0104397260
798,0.0140404250
799,0.0105817670
800,0.0103983760
801,0.0105131330
802,0.0105024990
803,0.0106493850
804,0.0105713630
805,0.0106195650
806,0.0106528580
807,0.0106695110
808,0.0106494440
809,0.0107637820
810,0.0107012840
811,0.0108373150
812,0.0108050170
813,0.0108164160
814,0.0108417740
815,0.0115065270
816,0.0110596140
817,0.0110481330
818,0.0108711160
819,0.0110542930
820,0.0108184420
821,0.0110526550
822,0.0110598680
823,0.0110692100
824,0.0112296470
825,0.0112152500
826,0.0112234360
827,0.0111577630
828,0.0113419730
829,0.0111030600
830,0.0112787730
831,0.0114500830
832,0.0134568760
833,0.0114633140
834,0.0115543740
835,0.0114398570
836,0.0149765800
837,0.0115819390
838,0.0114811860
839,0.0114209810
840,0.0115625450
841,0.0114660760
842,0.0115683850
843,0.0117438410
844,0.0116964880
845,0.0119055220
846,0.0116787780
847,0.0116544630
848,0.0117842900
849,0.0116277390
850,0.0117329420
851,0.0118304950
852,0.0118406140
853,0.0119669200
854,0.0119479220
855,0.0119931580
856,0.0119725180
857,0.0120018040
858,0.0126285990
859,0.0121206850
860,0.0120410830
861,0.0120946920
862,0.0120684910
863,0.0120241560
864,0.0120793600
865,0.0122642400
866,0.0122879490
867,0.0122302240
868,0.0123923020
869,0.0122308090
870,0.0122687850
871,0.0123764110
872,0.0123450710
873,0.0122776760
874,0.0123951450
875,0.0124444080
876,0.0124966030
877,0.0124639400
878,0.0124923180
879,0.0126457750
880,0.0125236270
881,0.0126727430
882,0.0126214740
883,0.0127073980
884,0.0127383370
885,0.0128293220
886,0.0127700780
887,0.0130086800
888,0.0126354340
889,0.0131353420
890,0.0131501910
891,0.0129130490
892,0.0130033210
893,0.0129103100
894,0.0130690480
895,0.0131126340
896,0.0132199890
897,0.0131180580
898,0.0133629550
899,0.0136276440
900,0.0132292610
901,0.0132608150
902,0.0133219400
903,0.0132822970
904,0.0134093120
905,0.0133426960
906,0.0136314390
907,0.0134343830
908,0.0133420690
909,0.0134808680
910,0.0132968070
911,0.0133948420
912,0.0137544120
913,0.0135726690
914,0.0141288160
915,0.0140078600
916,0.0137549220
917,0.0141287750
918,0.0136917750
919,0.0137470550
920,0.0136575170
921,0.0140119240
922,0.0139642040
923,0.0144569980
924,0.0139117740
925,0.0150598600
926,0.0143240720
927,0.0139257700
928,0.0143986370
929,0.0141058870
930,0.0140321410
931,0.0143077780
932,0.0143021330
933,0.0141997680
934,0.0143929190
935,0.0148327450
936,0.0142148370
937,0.0144962930
938,0.0144346900
939,0.0146513140
940,0.0144813940
941,0.0145471210
942,0.0146069880
943,0.0146396140
944,0.0146190180
945,0.0147865770
946,0.0148047050
947,0.0148026510
948,0.0149073920
949,0.0148896020
950,0.0150745910
